11 1
14 1
15 1
8 1
4 1
2 1
1 1
0 1
4 1
0 7
4 1
0 7
4 1
0 7
4 1
0 7
5 1
0 7
5 1
0 7
5 1
0 7
5 1
0 7
6 1
0 7
6 1
0 7
5 1
0 7
5 1
0 7
5 1
0 7
-14 1
23 1
-1 2
0 4
-57 1
9 1
6 1
1 1
0 4
-62 1
0 7
-62 1
0 7
-62 1
0 7
-62 1
0 7
-62 1
0 7
-62 1
0 7
-62 1
0 7
-62 1
0 7
-62 1
0 7
-59 1
-1 1
0 6
-49 1
-5 1
0 6
-31 1
-8 1
0 6
-12 1
-6 1
0 6
-2 1
-3 1
0 6
4 1
-1 1
0 6
6 1
0 7
6 1
2 1
-1 1
0 6
1 1
-2 1
0 5
-6 1
-4 1
2 1
0 5
12 1
-3 1
-5 1
0 5
13 1
-4 1
1 1
0 5
18 1
0 7
20 1
0 7
21 1
0 7
21 1
0 7
20 1
0 7
18 1
0 7
17 1
0 7
16 1
0 7
12 1
1 1
0 6
6 1
4 1
0 6
-3 1
5 1
-1 1
0 5
-29 1
14 1
-1 1
1 1
0 4
-55 1
5 1
2 1
0 5
-60 1
2 1
0 6
-62 1
0 7
-62 1
0 7
-63 1
0 7
-62 1
0 7
-62 1
0 7
-50 1
-19 1
8 1
-1 1
0 4
-1 1
-6 1
-3 1
-1 1
0 4
2 1
0 7
2 1
0 7
2 1
0 7
1 1
0 7
1 1
0 47
-1 1
0 7
-1 1
0 7
-1 1
0 7
-1 1
0 7
-2 1
0 7
-2 1
0 7
-3 1
0 7
-63 1
0 119
-3 1
6 1
-3 1
0 5
-5 1
-4 1
-2 1
0 61
1 1
0 15
-4 1
0 7
-7 1
0 7
-7 1
0 7
-5 1
-1 1
0 6
-2 1
0 23
-1 1
1 1
-1 1
0 5
-2 1
-3 1
-1 1
0 5
-15 1
4 1
0 1
1 1
0 4
-3 1
-6 1
-3 1
0 5
-3 1
-1 1
0 70
-2 1
0 7
-4 1
0 7
-9 1
4 1
0 6
-16 1
-2 1
1 1
0 5
-8 1
-1 1
0 8
-1 1
0 45
9 1
-9 1
1 1
0 5
6 1
5 1
1 1
0 357
1 1
0 47
1 1
0 8
-1 1
0 7
2 1
0 6
-2 1
-1 1
0 95
2 1
0 7
-1 1
0 6
1 1
0 8
1 1
0 54
-1 2
0 3190
11 1
14 1
15 1
8 1
4 1
2 1
1 1
0 1
4 1
0 7
4 1
0 7
4 1
0 7
4 1
0 7
6 1
0 7
6 1
0 7
6 1
0 7
6 1
0 7
6 1
0 7
6 1
0 7
5 1
0 7
5 1
0 7
6 1
0 7
-11 1
13 1
4 1
1 1
0 4
-56 1
10 1
9 1
3 1
0 4
-62 1
0 7
-62 1
0 7
-62 1
0 7
-62 1
0 7
-62 1
0 7
-62 1
0 7
-62 1
0 7
-61 1
-1 1
0 6
-53 1
-3 1
0 6
-45 1
-4 1
1 1
0 5
-29 1
-6 1
0 6
-16 1
-5 1
0 6
-6 1
-2 1
0 6
-1 1
-3 1
0 6
5 1
-1 1
0 6
10 1
-2 1
0 6
12 1
0 7
13 1
-3 1
0 6
17 1
-1 1
0 6
16 1
0 1
2 1
0 5
20 1
0 7
21 1
0 7
23 1
0 7
25 1
0 7
25 1
0 7
23 1
0 7
21 1
0 7
20 1
0 7
18 1
0 7
16 1
0 7
12 1
2 1
0 6
8 1
2 1
0 6
-3 1
8 1
-2 1
0 5
-32 1
10 1
2 1
0 5
-52 1
7 1
0 6
-61 1
0 7
-62 1
0 7
-62 1
0 7
-62 1
0 7
-62 1
0 7
-62 1
0 7
-25 1
-33 1
-2 1
0 5
2 1
0 7
2 1
0 7
2 1
0 7
2 1
0 7
1 1
0 7
1 1
0 7
1 1
0 7
1 1
0 31
-1 1
0 7
-1 1
0 7
-1 1
0 7
-1 1
0 7
-2 1
0 7
-2 1
0 7
-63 1
0 120
-1 1
1 1
-1 1
0 4
3 2
1 1
0 61
-3 1
1 1
0 6
-7 1
0 7
-5 1
0 7
-5 1
0 7
-1 1
0 31
-1 1
0 7
-2 1
0 7
-4 1
0 7
-2 1
0 7
-2 1
0 15
-1 1
0 7
-1 1
